exchange,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6
P2B,13601.575144614899,13273.47109579474,12366.680395839205,9971.1108628077,9384.234688703058,8978.931546728496
Toobit,14646.422089354035,14419.648577531361,13905.746060119842,11687.682865383693,11182.656639556466,10878.87175943344
BVOX,20127.089356602395,19685.380983391708,18942.315426107078,15449.62931980661,14627.52896952885,14274.177777221186
Coinstore,11419.133981135352,11194.692765892642,10476.304468846642,8771.608933389369,8440.845108888872,8116.079708606485
Ourbit,8199.126850857632,8131.834700288157,7947.360106422278,6931.491982800192,6660.252729292588,6624.949682335572
Bitunix,8787.32819774438,8570.757404338876,8004.303515172934,6822.788356197779,6580.6982665481255,6390.842122614832
BigONE,5879.451470494938,5763.128256546322,5494.524849822104,4514.530062455872,4298.983229740511,4150.852884974094
Pionex,22502.202466437586,22171.943223398353,21015.33817413995,17671.09072668723,16986.020257623135,16404.075445300026
LATOKEN,6862.427080694264,6761.399190986507,6022.498288197287,4610.863837530259,4171.2010781975605,3730.888161946901
Bitrue,4301.758011809774,4238.50089875481,4076.536981486993,3710.7258810876524,3623.162478359019,3520.4000078237445
Tokenize,2636.0239213456325,2628.6342796955055,2627.3238623620036,2602.602022478721,2603.3296207782164,2984.639369797271
BTSE,2278.840286848391,2296.319095725136,2331.500494774131,2291.2186522292777,2263.04435690413,2273.2546271023934
Fastex,2033.7816517209844,2030.1174228322577,2030.8061709758852,2040.4431698395647,2037.9982134414447,2039.7416773903242
CoinEx,1959.951363359087,1971.4359451078308,2005.0831598165578,1840.868852501026,1825.1721246086054,1865.636106854365
Dex-Trade,2058.6809415633047,2017.776997877435,1900.612183107752,1593.7442299479374,1533.9618150332171,1481.855612975996
Bitstamp,3305.941597916412,3148.9974177148943,2908.5327175517727,2609.211275358028,2449.0180456555295,2360.6239329602136
Bitso,319.84569819871945,319.3244498460219,356.759329115785,390.08035073643526,413.78379236487626,413.9017563086675
Bitkub,509.8081172605009,524.8897778549195,515.2057990999605,451.82676027116275,433.01873762547694,403.7049995033922
bitcastle,323.52967019439023,314.22089666195996,298.9155643863991,262.6552304627631,260.04726073408244,256.70521244114894
Indodax,229.94487093602814,226.27001038070853,220.9683565515685,200.60394962559363,212.40334616761615,214.9990972909646
HashKey Exchange,792.8290610371073,593.1218500497122,352.6132243604807,311.01911795309564,306.4768698659041,275.11243791588896
BitoPro,266.25846113836536,258.5982763555779,242.10406509587608,221.38424162646314,215.15602761483385,197.6858820285514
Deribit Spot,290.713452564954,279.5794671026296,253.41052985481954,186.39910952243983,175.71135719195584,156.67421385833248
Bitcointry,64.34494886613825,64.14302704053084,63.47798033002068,57.07917756284138,53.00788172104743,52.46531520041234
Upbit,22259.39677459503,25950.87734548315,27708.875600185347,26201.790796157515,27817.697809237787,31717.930884832018
XT.COM,12008.02301344484,11920.785775316304,11485.752049917775,9919.310413186091,9613.009981881863,9578.329628728474
Bithumb,8326.450725512419,8466.232391574085,8400.989929759491,7708.519548238758,7690.157201416933,7840.758847095699
Tapbit,10624.31150682218,10096.739768641766,9526.322402571528,8038.728384189613,7851.3096855134,7643.97202916323
Hibt,6659.536797794153,6630.601647013123,6492.744939989295,5683.289958813053,5615.412775744849,5612.394737871066
Biconomy.com,6324.320620701145,6239.347581155355,6001.155429767361,5321.672514405053,5143.881202076491,5061.303871857036
Deepcoin,13526.727829279993,13216.310409977765,12492.983038649536,10829.616263190337,10768.820847384071,11311.84446506334
Bitvavo,3432.725610556547,3322.6754041150107,3316.149216911616,2985.822132041449,3046.7774954844426,3082.1358603273534
QMall,2012.9264013650338,1942.669718945848,1778.4877530655751,1483.0820753016885,1461.583210960586,1420.0051306517253
Phemex,1191.1789318397969,1183.6870817639635,1165.3499974425486,1094.0878671123355,1085.0868898467709,1060.2786880839026
Slex,1677.0357398697545,1637.0633564104971,1548.352999298435,1367.8316648379796,1328.8010559129164,1311.9811223503855
bitFlyer,1203.8747578080397,1206.9219305303752,1214.1751902407505,1088.7500854557968,1096.0279460182096,1046.6756494859237
